question,answer1,answer2,answer3,answer4,correct_answer,image_url
Podstawowym zadaniem systemu CMS jest oddzielenie treści serwisu informacyjnego od jego wyglądu. Efekt ten jest uzyskany poprzez generowanie zawartości,z bazy danych oraz wyglądu ze zdefiniowanego szablonu.,z bazy danych oraz wyglądu za pomocą atrybutów HTML.,ze statycznych plików HTML oraz wyglądu ze zdefiniowanego szablonu.,ze statycznych plików HTML oraz wyglądu za pomocą technologii FLASH.,0,
W języku HTML znacznik < i > nadaje znakom taki sam wizualny efekt jak znacznik,<u>,<em>,<pre>,<strong>,1,
"Przedstawiono tabelę zdefiniowaną kodem HTML, bez formatowania CSS. Który z fragmentów kodu HTML odpowiada pierwszemu wierszowi tabeli?",A,B,C,D,3,images/634.jpg
"Aby obraz wstawiony kodem HTML mógł być interpretowany przez programy wspomagające osoby niewidzące, należy zdefiniować atrybut",alt,src,sizes,border,0,
"Na obrazie przedstawiono efekt formatowania stylami CSS oraz kod HTML generujący ten przykład. Zakładając, że marginesy wewnętrzne wynoszą 50 px, a zewnętrzne wynoszą 20 px, styl CSS dla obrazu ma postać","img { 
    background-color: Teal;  
    border: 4px dotted Teal; 
    padding: 50px; 
    margin: 20px; 
}","img { 
    background-color: Teal; 
    border: 4px solid black; 
    margin: 50px; 
    padding: 20px; 
}","img { 
    background-color: Teal; 
    border: 4px solid black; 
    padding: 50px; 
    margin: 20px; 
}","img { 
    background-color: Teal; 
    border: 4px dotted Teal; 
    margin: 50px; 
    padding: 20px; 
}",2,images/636.jpg
"W kodzie CSS zdefiniowano cztery klasy formatowania, których następnie użyto do formatowania paragrafów. Efekt widoczny na rysunku powstał po zastosowaniu klasy o nazwie",format1,format2,format3,format4,1,images/637.jpg
"W jakim formacie należy zapisać obraz, aby mógł być wyświetlony na stronie internetowej z zachowaniem przezroczystości?",JPG,BMP,PNG,CDR,2,
"Na potrzeby strony internetowej przygotowano grafikę rysunek.jpg o rozmiarze: szerokość 200 px, wysokość 100 px. Aby wyświetlić tę grafikę jako miniaturę – pomniejszoną z zachowaniem proporcji, można zastosować znacznik","<img src = ""rysunek.png"">","<img src = ""rysunek.png"" style = ""width: 50px"">","<img src = ""rysunek.png"" style = ""width: 25px; height: 50px"">","<img src = ""rysunek.png"" style = ""width: 25px; height: 25px"">",1,
"Której funkcji edytora grafiki rastrowej należy użyć, aby przygotować rysunek do wyświetlenia na stronie w ten sposób, żeby było widoczne tylko to, co znajduje się w ramce?",Odbicie,Skalowanie,Kadrowanie,Perspektywa,2,images/640.jpg
"Przedstawiony fragment dokumentu HTML z kodem JavaScript spowoduje, że po wciśnięciu przycisku",obraz1.png zostanie ukryty.,obraz2.png zostanie ukryty.,obraz2.png zostanie zastąpiony przez obraz1.png,obraz1.png zostanie zastąpiony przez obraz2.png,1,images/641.jpg
Co spowoduje fragment skryptu w języku JavaScript?,Przypisze zmienną n do zmiennej s.,Wyświetli długość napisu ze zmiennej n.,Przypisze zmiennej s wartość odpowiadającą długości napisu ze zmiennej n.,"Przypisze zmiennej s fragment napisu ze zmiennej n, o określonej przez zmienną length długości.",2,images/642.jpg
Przedstawiony kod PHP nawiązuje połączenie z serwerem bazy danych. Jakiego typu operacje powinny się znaleźć w instrukcji warunkowej w miejscu trzech kropek?,Zamknięcie bazy danych.,Obsługa błędu połączenia.,Obsługa danych pobranych z bazy.,Komunikat o pomyślnym połączeniu z bazą.,1,images/643.jpg
"Który znacznik należący do sekcji head dokumentu HTML w wersji 5 jest wymagany przez walidator języka HTML, a jego brak jest zgłaszany jako błąd (error)?",title,link,metą,style,0,
Za pomocą którego protokołu można opublikować stronę internetową na serwerze?,FTP,ICMP,SMTP,NNTP,0,
W przedstawionym fragmencie algorytmu zastosowano,dwie pętle,jedną pętlę.,jeden blok decyzyjny.,trzy bloki operacyjne (procesy).,1,images/646.jpg
"Do optymalnej realizacji algorytmu szukającego największej z trzech podanych liczb a, b i c, wystarczy
zastosować",jedną pętlę.,dwie tablice.,dwa warunki.,pięć zmiennych.,2,
"Które wyrażenie logiczne w języku PHP sprawdza, czy zmienna1 należy do przedziału jednostronnie
domkniętego <-5, 10)?",$zmienna1 >= -5 || $zmienna1 < 10,$zmienna1 <= -5 || $zmienna1 < 10,$zmienna1 >= -5 && $zmienna1 < 10,$zmienna1 <= -5 && $zmienna1 < 10,2,
"Przedstawiona w języku C++ definicja typu wyliczeniowego sprawi, że enumerator CZWARTEK będzie
równy","napisowi ""CZWARTEK""",napisowi 'CZWARTEK',liczbie 1,liczbie 4,3,images/649.jpg
"Tablica tab[] jest wypełniona dowolnymi liczbami całkowitymi. Jaka wartość znajdzie się w zmiennej zm2
po wykonaniu prezentowanego fragmentu kodu?",Suma liczb z tablicy. ,Suma liczb od 1 do 10.,Średnia arytmetyczna liczb z tablicy.,Średnia geometryczna liczb od 0 do 9.,2,images/650.jpg
W języku JavaScript metoda getElementById odwołuje się do,zmiennej liczbowej.,klasy zdefiniowanej w CSS.,znacznika HTML o podanym id.,znacznika HTML o podanej nazwie klasy.,2,
"W języku C++ funkcja zwracająca wynik potęgowania, działająca na dwóch parametrach wejściowych:
liczbie x i wykładniku w, ma deklarację",int potega(int x);,"int potega(int x, int w);","void potega(int x, int w);","void potega(int x, int w, int wynik);",1,
"Aby skorzystać ze skryptu zapisanego w pliku przyklad.js, należy połączyć go ze stroną za pomocą kodu",<script> przyklad.js </script>,"<script src=""przyklad.js""> </script>","<script link=""przyklad.js""> </script>","<link rel=""script"" href=""przyklad.js"">",1,
"Programista napisał w języku C++ pętlę, która miała obliczyć wynik działania 5! (5! = 1 * 2 * 3 * 4 * 5).
Popełnił jednak błąd logiczny polegający na tym, że",zmienna a powinna być inicjowana wartością 0 zamiast 1.,parametr i pętli powinien być inicjowany wartością 0 zamiast 1.,parametr i pętli powinien być dekrementowany zamiast inkrementowany.,w drugim parametrze pętli powinno być porównanie i < 6 zamiast i < 5.,3,images/654.jpg
Który ze sposobów komentowania kodu nie jest stosowany w kodzie PHP?,# komentarz,// komentarz,/* komentarz */,< !-- komentarz -- >,3,
"Klucz obcy w tabeli jest tworzony po to, aby",łączyć go z innymi kluczami obcymi tabeli.,stworzyć formularz wpisujący dane do tabeli.,umożliwić jednoznaczną identyfikację rekordu w tabeli.,zdefiniować relację 1..n wiążącą go z kluczem głównym innej tabeli.,3,
Które ze stwierdzeń dotyczących klucza podstawowego jest prawdziwe?,Jest unikalny w obrębie tabeli.,Składa się tylko z jednego pola.,Może przyjmować tylko wartości liczbowe.,Dla tabeli z danymi osobowymi może być to pole nazwisko.,0,
"W języku SQL aby zmodyfikować dane w tabeli, należy posłużyć się poleceniem",CREATE,UPDATE,SELECT,JOIN,1,
"Które zapytanie SQL posłuży do wyszukania z przedstawionej tabeli wyłącznie wszystkich imion i nazwisk
pacjentów urodzonych przed rokiem 2002?",SELECT * FROM Pacjenci WHERE rok_urodzenia <= 2002;,SELECT * FROM Pacjenci WHERE rok_urodzenia LIKE 2002;,"SELECT imie, nazwisko FROM Pacjenci WHERE rok_urodzenia < 2002;","SELECT imie, nazwisko FROM Pacjenci WHERE data_ostatniej_wizyty < 2002;",2,images/659.jpg
"Aby utworzyć tabelę, należy się posłużyć poleceniem",INSERT INTO,ALTER TABLE,CREATE TABLE,CREATE DATABASE,2,
Wynikiem uruchomienia zapytania SQL jest,liczba wszystkich uczniów.,średnia ocen wszystkich uczniów.,"liczba uczniów, których średnia ocen wynosi 5.","suma ocen uczniów, których średnia ocen wynosi 5.",2,images/661.jpg
"Aby wyświetlić jedynie imię, nazwisko i ulicę wszystkich mieszkańców, należy zastosować zapytanie","SELECT * FROM Mieszkancy, Adresy ON Mieszkancy.id = Adresy.id;",SELECT * FROM Mieszkancy JOIN Adresy ON Adresy.id = Mieszkancy.Adresy.id;,"SELECT imie, nazwisko, ulica FROM Mieszkancy, Adresy ON Mieszkancy.Adresy_id
= Adresy.id;","SELECT imie, nazwisko, ulica FROM Mieszkancy JOIN Adresy ON
Mieszkancy.Adresy_id = Adresy.id;",3,images/662.jpg
"Przedstawiona baza danych zawiera trzy tabele i dwie relacje. Aby wyświetlić dane wszystkich lekarzy
przypisanych do konkretnego pacjenta, należy przyrównać klucze",Lekarze.id = Recepty.id,Lekarze.id = Pacjenci.id,Lekarze.id = Pacjenci.Lekarze_id,Lekarze.id = Pacjenci.Recepty_id,2,images/663.jpg
W wyniku połączenia relacją kluczy głównych dwóch tabel otrzymuje się relację typu ,wiele do wielu.,jeden do wielu.,jeden do jednego.,wiele do jednego.,2,
"Obiektem służącym w bazie danych do podsumowywania, wyświetlania i wydruków danych jest",raport.,zapytanie.,formularz.,zestawienie.,0,
Za pomocą polecenia ALTER TABLE można,usuwać tabelę.,tworzyć tabelę.,modyfikować strukturę tabeli.,modyfikować wartości zapisane w rekordach tabeli.,2,
"W bazie danych zdefiniowano tabelę Mieszkancy wypełnioną danymi. Aby usunąć tę tabelę wraz
z zawartością, należy posłużyć się poleceniem",DROP TABLE Mieszkancy;,DELETE FROM Mieszkancy;,ALTER TABLE Mieszkancy;,TRUNCATE TABLE Mieszkancy;,0,
"Aby odebrać uprawnienia użytkownikowi, należy zastosować polecenie",DELETE,REVOKE,DELETE PRIVILEGES,GRANT NO PRIVILEGES,1,
"Aby aplikacja PHP mogła komunikować się z bazą danych, niezbędne jest w pierwszej kolejności wywołanie
funkcji o nazwie",mysqli_close,mysqli_connect,mysql_select_db,mysql_create_db,1,
Który z wymienionych znaczników języka HTML może posłużyć do budowy struktury strony internetowej?,<em>,<aside>,<input>,<mark>,1,
Logo systemu CMS o nazwie Joomla! to,A,B,C,D,1,images/671.jpg
"Język HTML dysponuje nagłówkami do budowania hierarchii treści. Nagłówki te występują jedynie
w zakresie",h1 – h4,h1 – h6,h1 – h8,h1 – h10,1,
"W języku HTML zdefiniowano odnośnik do strony internetowej. Aby strona otwierała się w nowym oknie
lub zakładce przeglądarki, należy dopisać do definicji odnośnika atrybut","rel = ""next""","rel = ""external""","target = ""_blank""","target = ""_parent""",2,images/673.jpg
Która lista jest interpretacją przedstawionego kodu?,A,B,C,D,2,images/674.jpg
"Na potrzeby strony internetowej zdefiniowano styl. Styl będzie przypisany tylko do niektórych znaczników
(np. niektórych nagłówków, kilku akapitów). W takim wypadku, aby przypisać styl do kilku konkretnych
znaczników, najlepiej jest zastosować ",klasę.,pseudoklasę.,identyfikator.,selektor akapitu.,0,images/675.jpg
"Aby zdefiniować krój czcionki w stylu CSS, należy użyć właściwości",text-style,font-style,text-family,font-family,3,
Który z obrazów został sformatowany za pomocą przedstawionego stylu CSS?,A,B,C,D,0,images/677.jpg
"Aby na stronie internetowej wyświetlić logo, którego tło jest przezroczyste, należy zastosować format",JPG,CDR,PNG,BMP,2,
"Aby obraz umieszczony na stronie internetowej automatycznie skalował się do rozmiaru ekranu, na którym
jest wyświetlana strona, należy",oba jego wymiary ustawić w pikselach. ,jeden z jego wymiarów ustawić w pikselach.,nie modyfikować obu jego wymiarów stylami CSS.,jego szerokość ustawić w wartościach procentowych.,3,
"W procesie przygotowywania grafiki na stronę internetową należy wyciąć jedynie jej fragment. Taka
operacja to","skalowanie.
",kadrowanie.,odbicie obrazu,łączenie warstw.,1,
"W aplikacji internetowej komunikat powinien pojawiać się tylko wtedy, gdy dany użytkownik jest na stronie
po raz pierwszy. Którą funkcję PHP należy w tym celu zastosować?",define,setcookie,session_destroy,mysqli_change_user,1,
"Przedstawiona definicja formularza została zastosowana na stronie internetowej, która wysyła dane do pliku
zapisanego w języku PHP. W której tablicy będą dostępne dane z formularza?",$ _ GET,$ _ POST,$ _ COOKIE,$ _ ACTION,1,images/682.jpg
"W skrypcie JavaScript zastosowano metodę DOM getElementsByClassName('akapit'). Metoda ta
odwoła się do akapitu",<p> akapit </p>,"<p id=""akapit""> akapit2 </p>","<p href=""akapit""> akapit3 </p>","<p class=""akapit""> akapit4 </p>",3,
"Dla przedstawionego fragmentu kodu walidator HTML zwróci błąd, ponieważ",zastosowano błędny znacznik do wyświetlenia obrazu.,zastosowano nieznany atrybut alt.,nie znaleziono obrazu kwiat.jpg.,nie domknięto cudzysłowu.,3,images/684.jpg
Program FileZilla może posłużyć do,kompilacji skryptu na stronie.,walidacji strony internetowej.,publikacji strony internetowej.,debugowania skryptu na stronie. ,2,
Która wartość zostanie wypisana przez algorytm?,3,5,7,15,3,images/686.jpg
Wskaż złożoność obliczeniową algorytmu naiwnego (zwykłego) wyszukiwania minimum w zbiorze liczb?,O(n),O(n2),O(n3),O(n!),0,
Do którego pola klasy Dane możliwy będzie dostęp z zewnątrz poprzez nazwę obiektu utworzonego jako instancja tej klasy?,Do wszystkich pól.,Do pola $a.,Do pola $b.,Do pola $c.,1,images/688.jpg
W języku JavaScript utworzono obiekt. Aby pobrać wartość własności w można zapisać,obiekt:w,obiekt.w,obiekt::w,obiekt->w,1,images/689.jpg
"W języku PHP zainicjowano zmienną $a wartością 1. Porównanie $a === $b przyjmuje wartość true, w przypadku, gdy zmienna $b jest zainicjowana wartością",*1,'1',1,"""1"" lub '1'",2,
Która pętla w języku PHP pozwala wykonać operacje na wszystkich elementach tablicy z automatycznym indeksowaniem jej elementów?,for,while,foreach,do...while,2,
"Wskaż wynik wykonania przedstawionego kodu PHP, jeżeli zmienna tab jest tablicą.",jelenie sarny,lisy borsuki,sarny dziki,dziki lisy,2,images/692.jpg
Zapisaną językiem PHP funkcję o nazwie policz wywołano z argumentem $Z = 1. Jaki wynik zostanie zwrócony?,13,7,4,1,0,images/693.jpg
"Wskaż funkcję JavaScript, za pomocą której można obliczyć połowę kwadratu liczby przekazanej jako argument.",function wynik(a) { return a/2+a/2; },function wynik(a) { return a*2/2; },function wynik(a) { return a*a/2; },function wynik(a) { return 2*a/a; },2,
"Która z przedstawionych funkcji języka PHP zamieni słowo ""kota"" na słowo ""mysz"" w napisie ""ala ma kota""?","replace (""ala ma kota"", ""kota"", ""mysz"");","replace (""kota"", ""mysz"", ""ala ma kota"");","str_replace(""ala ma kota"", ""kota"", ""mysz"");","str_replace(""kota"", ""mysz"", ""ala ma kota"");",3,
Która z przedstawionych metod pozwoli wypisać w języku JavaScript komunikat w konsoli przeglądarki internetowej?,"console.write(""test"");","console.print(""test"");","console.echo(""test"");","console.log(""test"");",3,
"Polecenie wysyłane do serwera bazy danych, polegające na zbieraniu, poszukiwaniu lub modyfikowaniu danych w bazie jest nazywane",formularzem.,kwerendą.,kolumną.,kopią.,1,
Kolumna pełniąca rolę klucza głównego w tabeli musi,zawierać ciągłą numerację.,zawierać unikalne wartości.,zawierać wartości liczbowe.,być innego typu niż pozostałe kolumny.,1,
Która z wbudowanych funkcji agregujących języka SQL oblicza średnią wartości we wskazanej kolumnie?,MIN,AVG,SUM,COUNT,1,
"Aby w wyniku zapytania wyeliminować powtarzające się wiersze, należy użyć klauzuli",LIMIT,UNIQUE,DISTINCT,ORDER BY,2,
"Za pomocą, którego polecenia SQL można usunąć z tabeli artykuły wiersze zawierające słowo ""sto"" znajdujące się w dowolnym miejscu pola tresc?","DELETE FROM artykuly WHERE tresc = ""%sto%"";","DELETE * FROM artykuly WHERE tresc = ""%sto%"";","DELETE FROM artykuly WHERE tresc LIKE ""%sto%"";","DELETE * FROM artykuly WHERE tresc LIKE ""%sto%"";",2,
"W bazie danych sklepu istnieją dwie tabele powiązane relacją: produkty oraz ceny. Tabela oceny zawiera dowolną liczbę ocen klientów dla danego produktu opisaną polami: id, ocena (pole numeryczne), produktID (klucz obcy). Aby wskazać maksymalną ocenę dla produktu o ID równym 10, należy posłużyć się zapytaniem",MAX SELECT ocena FROM oceny WHERE produktID = 10;,SELECT MAX(ocena) FROM oceny WHERE produktID = 10;,COUNT MAX SELECT ocena FROM oceny WHERE produktID = 10;,SELECT MAX COUNT(ocena) FROM oceny WHERE produktID = 10;,1,
Aby zmodyfikować strukturę tabeli w bazie MySQL należy wykonać polecenie,ALTER TABLE,INSERT INTO,UPDATE,GRANT,0,
"Za pomocą, którego zapytania Administrator odbierze prawo przeglądania oraz aktualizacji danych w bazie gazeta, dla użytkownika redaktor?","REVOKE SELECT, UPDATE ON gazeta.* FROM 'redaktor'@'localhost';","REVOKE SELECT, ALTER ON gazeta.* FROM 'redaktor'@'localhost';","GRANT SELECT, UPDATE ON gazeta.* TO 'redaktor'@'localhost';","GRANT SELECT, ALTER ON gazeta.* TO 'redaktor'@'localhost';",0,
"Za pomocą, której funkcji języka PHP można ustanowaić połączenie z bazą danych o nazwie zwierzaki?","$polacz = db_connect('localhost', 'root', '', 'zwierzaki');","$polacz = sql_connect('localhost', 'root', '', 'zwierzaki');","$polacz = server_connect('localhost', 'root', '', 'zwierzaki');","$polacz = mysqli_connect('localhost', 'root', '', 'zwierzaki');",3,
